persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
novice,bomberman,10,Bomb,4,0,47.5,0.5,"[(48.0, 48.0), (57.3, 44.3), (64.8, 44.3), (64.8, 44.3), (68.5, 44.3), (83.5, 44.3), (98.4, 44.3), (113.3, 44.3), (128.3, 44.3), (143.2, 44.3), (158.1, 44.3), (173.1, 44.3), (188.0, 44.3), (202.9, 44.3), (217.9, 44.3), (232.8, 44.3), (247.7, 44.3), (262.7, 44.3), (277.6, 44.3), (292.5, 44.3), (307.5, 44.3), (322.4, 44.3), (337.3, 44.3), (352.3, 44.3), (367.2, 44.3), (382.1, 44.3), (397.1, 44.3), (412.0, 44.3), (426.9, 46.1), (436.3, 57.3), (436.3, 72.3), (436.3, 76.0), (436.3, 90.9), (436.3, 105.9), (436.3, 120.8), (436.3, 132.0), (436.3, 128.3), (436.3, 132.0), (436.3, 135.7), (436.3, 139.5), (436.3, 143.2), (436.3, 146.9), (436.3, 150.7), (436.3, 154.4), (436.3, 154.4), (436.3, 139.5), (436.3, 143.2), (436.3, 135.7), (436.3, 139.5), (436.3, 132.0), (434.4, 124.5), (428.8, 128.3), (428.8, 124.5), (428.8, 124.5), (428.8, 128.3), (428.8, 124.5), (428.8, 124.5), (428.8, 128.3), (428.8, 124.5), (428.8, 124.5), (428.8, 128.3)]",0,0,8.02
novice,bomberman,10,Bomb,1,0,28.47,0.154,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 59.2), (244.0, 74.1), (244.0, 92.8), (244.0, 102.1), (244.0, 102.1), (244.0, 105.9), (244.0, 102.1), (244.0, 102.1), (244.0, 105.9), (244.0, 102.1), (244.0, 102.1), (244.0, 105.9), (244.0, 102.1), (244.0, 102.1), (244.0, 105.9), (244.0, 102.1), (244.0, 102.1), (244.0, 105.9), (255.2, 111.5), (270.1, 109.6), (275.7, 109.6), (275.7, 109.6), (275.7, 109.6), (275.7, 109.6), (275.7, 113.3), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 113.3), (275.7, 109.6), (275.7, 109.6), (275.7, 109.6), (275.7, 109.6)]",0,1,8.0
novice,bomberman,10,Bomb,1,0,47.54,0.538,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 44.3), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 49.9), (376.5, 46.1), (391.5, 44.3), (406.4, 44.3), (421.3, 48.0), (436.3, 61.1), (436.3, 76.0), (436.3, 90.9), (436.3, 94.7), (436.3, 98.4), (436.3, 102.1), (436.3, 117.1), (436.3, 120.8), (436.3, 120.8), (436.3, 122.7), (436.3, 132.0), (436.3, 137.6), (436.3, 139.5), (436.3, 154.4), (436.3, 169.3), (436.3, 171.2), (436.3, 176.8), (436.3, 176.8), (436.3, 176.8), (436.3, 176.8), (436.3, 173.1), (436.3, 173.1), (436.3, 176.8), (436.3, 173.1), (436.3, 173.1), (436.3, 176.8), (436.3, 169.3), (436.3, 169.3), (436.3, 165.6), (436.3, 169.3), (436.3, 169.3), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6)]",0,1,8.05
novice,bomberman,10,Bomb,1,0,47.54,0.538,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 44.3), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 49.9), (376.5, 46.1), (391.5, 44.3), (406.4, 44.3), (421.3, 48.0), (436.3, 61.1), (436.3, 76.0), (436.3, 90.9), (436.3, 94.7), (436.3, 98.4), (436.3, 102.1), (436.3, 117.1), (436.3, 120.8), (436.3, 120.8), (436.3, 122.7), (436.3, 132.0), (436.3, 137.6), (436.3, 139.5), (436.3, 154.4), (436.3, 169.3), (436.3, 171.2), (436.3, 176.8), (436.3, 176.8), (436.3, 176.8), (436.3, 176.8), (436.3, 173.1), (436.3, 173.1), (436.3, 176.8), (436.3, 173.1), (436.3, 173.1), (436.3, 176.8), (436.3, 169.3), (436.3, 169.3), (436.3, 165.6), (436.3, 169.3), (436.3, 169.3), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6)]",0,1,8.05
novice,bomberman,10,Bomb,1,0,47.3,0.538,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 44.3), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 44.3), (376.5, 44.3), (391.5, 44.3), (406.4, 44.3), (421.3, 48.0), (436.3, 61.1), (436.3, 76.0), (436.3, 90.9), (436.3, 105.9), (436.3, 120.8), (436.3, 117.1), (436.3, 128.3), (436.3, 132.0), (436.3, 128.3), (436.3, 128.3), (436.3, 132.0), (436.3, 135.7), (436.3, 139.5), (436.3, 154.4), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (430.7, 161.9), (428.8, 161.9), (428.8, 165.6)]",0,1,8.05
novice,bomberman,10,Bomb,1,0,31.87,0.5,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 44.3), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 44.3), (376.5, 44.3), (391.5, 44.3), (406.4, 44.3), (421.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 59.2), (436.3, 74.1), (436.3, 89.1), (436.3, 104.0), (436.3, 118.9), (436.3, 122.7), (436.3, 126.4), (436.3, 137.6), (436.3, 133.9), (436.3, 137.6), (436.3, 137.6), (436.3, 133.9), (436.3, 130.1), (436.3, 126.4), (436.3, 122.7), (436.3, 126.4), (436.3, 126.4), (436.3, 122.7), (436.3, 126.4), (436.3, 126.4), (436.3, 122.7), (436.3, 126.4), (436.3, 126.4), (436.3, 122.7), (436.3, 126.4), (436.3, 126.4), (436.3, 122.7), (436.3, 118.9), (436.3, 118.9), (436.3, 122.7), (436.3, 118.9), (436.3, 104.0), (436.3, 89.1), (436.3, 74.1), (436.3, 59.2), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 46.1), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 59.2)]",0,1,12.18
novice,bomberman,10,Bomb,2,0,48.53,0.538,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 48.0), (257.1, 51.7), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 44.3), (376.5, 44.3), (391.5, 44.3), (406.4, 44.3), (421.3, 48.0), (436.3, 61.1), (436.3, 76.0), (436.3, 90.9), (436.3, 105.9), (436.3, 120.8), (436.3, 135.7), (436.3, 135.7), (436.3, 132.0), (436.3, 135.7), (436.3, 135.7), (436.3, 132.0), (436.3, 135.7), (436.3, 139.5), (436.3, 154.4), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 158.1), (436.3, 154.4), (436.3, 150.7), (436.3, 150.7), (436.3, 154.4), (436.3, 146.9), (436.3, 146.9), (436.3, 143.2)]",0,1,8.0
novice,bomberman,10,Bomb,3,0,40.6,0.308,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 44.3), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 49.9), (372.8, 64.8), (372.8, 79.7), (372.8, 94.7), (372.8, 98.4), (372.8, 98.4), (372.8, 94.7), (372.8, 98.4), (372.8, 98.4), (372.8, 94.7), (372.8, 98.4), (372.8, 98.4), (372.8, 94.7), (372.8, 98.4), (372.8, 102.1), (372.8, 105.9), (372.8, 102.1), (372.8, 98.4), (372.8, 94.7), (372.8, 98.4), (372.8, 98.4), (372.8, 94.7), (372.8, 98.4), (372.8, 98.4), (372.8, 94.7), (372.8, 98.4), (372.8, 98.4), (372.8, 94.7), (372.8, 109.6), (372.8, 115.2), (372.8, 115.2), (372.8, 115.2), (372.8, 115.2), (372.8, 115.2), (372.8, 115.2), (372.8, 115.2), (372.8, 115.2), (372.8, 115.2), (372.8, 115.2), (372.8, 115.2)]",0,0,8.0
novice,bomberman,10,Bomb,1,0,47.64,0.462,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 44.3), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 44.3), (376.5, 44.3), (391.5, 44.3), (406.4, 44.3), (421.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 49.9), (436.3, 51.7), (436.3, 66.7), (436.3, 81.6), (436.3, 96.5), (436.3, 100.3), (436.3, 96.5), (436.3, 96.5), (436.3, 100.3), (436.3, 96.5), (436.3, 96.5), (436.3, 100.3), (436.3, 96.5)]",0,0,8.15
novice,bomberman,10,Bomb,17,0,24.04,0.5,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 44.3), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 44.3), (376.5, 44.3), (391.5, 44.3), (406.4, 44.3), (421.3, 48.0), (436.3, 48.0), (436.3, 44.3), (436.3, 48.0), (436.3, 48.0), (436.3, 44.3), (436.3, 53.6), (436.3, 68.5), (436.3, 83.5), (436.3, 98.4), (436.3, 113.3), (436.3, 117.1), (436.3, 113.3), (436.3, 120.8), (436.3, 117.1), (436.3, 124.5), (436.3, 124.5), (436.3, 128.3), (436.3, 124.5), (436.3, 124.5), (436.3, 128.3), (436.3, 124.5), (436.3, 124.5), (436.3, 128.3), (436.3, 124.5), (436.3, 124.5), (436.3, 128.3), (436.3, 120.8), (436.3, 120.8), (436.3, 117.1), (436.3, 120.8), (436.3, 113.3), (436.3, 117.1), (436.3, 113.3), (436.3, 109.6), (436.3, 105.9), (436.3, 102.1), (436.3, 102.1), (436.3, 105.9), (436.3, 102.1), (436.3, 87.2), (436.3, 72.3), (436.3, 57.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 48.0), (436.3, 62.9), (436.3, 77.9), (436.3, 92.8), (436.3, 107.7), (436.3, 111.5), (436.3, 115.2), (436.3, 115.2), (436.3, 111.5), (436.3, 115.2), (436.3, 107.7), (436.3, 111.5), (436.3, 104.0), (436.3, 104.0), (436.3, 100.3), (436.3, 104.0), (436.3, 96.5), (436.3, 100.3), (436.3, 96.5), (436.3, 96.5), (436.3, 100.3), (436.3, 96.5), (436.3, 96.5), (436.3, 100.3), (436.3, 96.5), (436.3, 96.5), (436.3, 100.3), (436.3, 96.5)]",0,1,16.15
novice,bomberman,10,Bomb,2,0,47.54,0.538,"[(48.0, 48.0), (62.9, 51.7), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 48.0), (257.1, 48.0), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 44.3), (376.5, 44.3), (391.5, 44.3), (406.4, 44.3), (421.3, 48.0), (436.3, 61.1), (436.3, 76.0), (436.3, 90.9), (436.3, 105.9), (436.3, 120.8), (436.3, 135.7), (436.3, 150.7), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6)]",0,1,8.05
novice,bomberman,10,Bomb,1,0,28.47,0.154,"[(48.0, 48.0), (53.6, 44.3), (68.5, 44.3), (83.5, 44.3), (98.4, 44.3), (113.3, 44.3), (128.3, 44.3), (143.2, 44.3), (158.1, 44.3), (173.1, 44.3), (188.0, 44.3), (202.9, 44.3), (217.9, 44.3), (232.8, 48.0), (244.0, 62.9), (244.0, 77.9), (244.0, 98.4), (247.7, 113.3), (262.7, 109.6), (275.7, 111.5), (275.7, 111.5), (275.7, 115.2), (275.7, 111.5), (275.7, 111.5), (275.7, 115.2), (275.7, 111.5), (275.7, 111.5), (275.7, 115.2), (275.7, 111.5), (275.7, 111.5), (275.7, 115.2), (275.7, 113.3), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2), (275.7, 115.2)]",0,1,8.0
novice,bomberman,10,Bomb,5,0,40.51,0.731,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 46.1), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 44.3), (376.5, 44.3), (391.5, 44.3), (406.4, 44.3), (421.3, 48.0), (436.3, 61.1), (436.3, 76.0), (436.3, 90.9), (436.3, 105.9), (436.3, 120.8), (436.3, 135.7), (436.3, 150.7), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 169.3), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 169.3), (436.3, 169.3), (436.3, 165.6), (436.3, 169.3), (436.3, 173.1), (436.3, 176.8), (436.3, 173.1), (436.3, 173.1), (436.3, 176.8), (436.3, 173.1), (436.3, 173.1), (436.3, 174.9), (436.3, 180.5), (434.4, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5)]",0,2,9.4
novice,bomberman,10,Bomb,5,0,40.51,0.731,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 46.1), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 44.3), (376.5, 44.3), (391.5, 44.3), (406.4, 44.3), (421.3, 48.0), (436.3, 61.1), (436.3, 76.0), (436.3, 90.9), (436.3, 105.9), (436.3, 120.8), (436.3, 135.7), (436.3, 150.7), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 169.3), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 169.3), (436.3, 169.3), (436.3, 165.6), (436.3, 169.3), (436.3, 173.1), (436.3, 176.8), (436.3, 173.1), (436.3, 173.1), (436.3, 176.8), (436.3, 173.1), (436.3, 173.1), (436.3, 174.9), (436.3, 180.5), (434.4, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5), (428.8, 180.5)]",0,2,9.4
novice,bomberman,10,Bomb,2,0,47.54,0.538,"[(48.0, 48.0), (62.9, 51.7), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 48.0), (257.1, 48.0), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 44.3), (376.5, 44.3), (391.5, 44.3), (406.4, 44.3), (421.3, 48.0), (436.3, 61.1), (436.3, 76.0), (436.3, 90.9), (436.3, 105.9), (436.3, 120.8), (436.3, 135.7), (436.3, 150.7), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6)]",0,1,8.05
novice,bomberman,10,Bomb,1,0,47.3,0.538,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 44.3), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 44.3), (376.5, 44.3), (391.5, 44.3), (406.4, 44.3), (421.3, 48.0), (436.3, 61.1), (436.3, 76.0), (436.3, 90.9), (436.3, 105.9), (436.3, 120.8), (436.3, 117.1), (436.3, 128.3), (436.3, 132.0), (436.3, 128.3), (436.3, 128.3), (436.3, 132.0), (436.3, 135.7), (436.3, 139.5), (436.3, 154.4), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6), (430.7, 161.9), (428.8, 161.9), (428.8, 165.6)]",0,1,8.05
novice,bomberman,10,Bomb,1,0,47.54,0.538,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 44.3), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 49.9), (376.5, 46.1), (391.5, 44.3), (406.4, 44.3), (421.3, 48.0), (436.3, 61.1), (436.3, 76.0), (436.3, 90.9), (436.3, 94.7), (436.3, 98.4), (436.3, 102.1), (436.3, 117.1), (436.3, 120.8), (436.3, 120.8), (436.3, 122.7), (436.3, 132.0), (436.3, 137.6), (436.3, 139.5), (436.3, 154.4), (436.3, 169.3), (436.3, 171.2), (436.3, 176.8), (436.3, 176.8), (436.3, 176.8), (436.3, 176.8), (436.3, 173.1), (436.3, 173.1), (436.3, 176.8), (436.3, 173.1), (436.3, 173.1), (436.3, 176.8), (436.3, 169.3), (436.3, 169.3), (436.3, 165.6), (436.3, 169.3), (436.3, 169.3), (436.3, 165.6), (436.3, 161.9), (436.3, 161.9), (436.3, 165.6)]",0,1,8.05
novice,bomberman,10,Bomb,1,0,-0.92,0.077,"[(48.0, 48.0), (53.6, 44.3), (64.8, 44.3), (61.1, 44.3), (64.8, 44.3), (53.6, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 48.0), (44.3, 55.5), (44.3, 62.9), (44.3, 62.9), (44.3, 66.7), (44.3, 62.9), (44.3, 62.9), (44.3, 66.7), (44.3, 62.9), (44.3, 62.9), (44.3, 66.7), (44.3, 62.9), (44.3, 62.9), (44.3, 66.7), (44.3, 62.9), (44.3, 62.9), (44.3, 66.7), (44.3, 62.9), (44.3, 62.9), (44.3, 77.9), (44.3, 92.8), (44.3, 96.5), (44.3, 100.3)]",0,0,4.05
